Price,Area,Location,city
16700000,1150,Jankalyan Nagar,Mumbai
2900000,350,Jankalyan Nagar,Mumbai
11500000,950,Jankalyan Nagar,Mumbai
21700000,900,Vakola,Mumbai
4000000,620,Kamothe,Mumbai
6400000,980,Kamothe,Mumbai
6900000,950,Kamothe,Mumbai
7500000,890,Sector 17 Ulwe,Mumbai
5425000,619,Kamothe,Mumbai
5700000,710,Kamothe,Mumbai
7100000,887,Kamothe,Mumbai
7800000,1005,Kamothe,Mumbai
5900000,950,Kamothe,Mumbai
6200000,660,Kamothe Sector 16,Mumbai
5500000,650,Sector 17 Ulwe,Mumbai
5000000,650,Kamothe,Mumbai
4050000,638,Kamothe,Mumbai
5050000,675,Kamothe,Mumbai
7400000,890,Sector 17 Ulwe,Mumbai
6800000,1006,Kamothe,Mumbai
3000000,420,Kamothe,Mumbai
5200000,850,Kamothe,Mumbai
6700000,1005,Kamothe,Mumbai
6900000,900,Kamothe,Mumbai
7950000,940,Kamothe,Mumbai
5460000,620,Kamothe,Mumbai
4950000,650,Kamothe,Mumbai
7000000,1000,Kamothe,Mumbai
8575000,1100,Kamothe,Mumbai
4800000,600,Kamothe,Mumbai
2700000,350,Sector 17 Ulwe,Mumbai
7900000,940,Kamothe,Mumbai
36000000,900,Almeida Park,Mumbai
35000000,700,Khar,Mumbai
30000000,850,Bandra West,Mumbai
35000000,800,Pali Hill,Mumbai
35000000,800,15th Road,Mumbai
2100000,770,Palghar,Mumbai
14500000,989,Chembur,Mumbai
14900000,1550,Kharghar,Mumbai
3700000,550,Sector13 Kharghar,Mumbai
2700000,416,Sector 20 Kharghar,Mumbai
3850000,510,Kharghar,Mumbai
2850000,305,Kharghar,Mumbai
12100000,1251,Kharghar,Mumbai
6800000,989,Kharghar,Mumbai
6000000,850,Kharghar,Mumbai
6850000,989,Kharghar,Mumbai
5500000,900,Kharghar,Mumbai
9200000,1500,Sector 21 Kharghar,Mumbai
5000000,650,Sector 12 Kharghar,Mumbai
17500000,1750,Kharghar,Mumbai
9400000,1240,Kharghar,Mumbai
16500000,1560,Kharghar,Mumbai
3700000,640,Kharghar,Mumbai
2700000,350,Sector 21 Kharghar,Mumbai
8000000,1050,Kharghar,Mumbai
22000000,1770,Kharghar,Mumbai
10200000,1230,Kharghar,Mumbai
3100000,450,Kharghar,Mumbai
5500000,655,Kharghar,Mumbai
32799999,780,Santacruz West,Mumbai
32799999,780,Santacruz West,Mumbai
11000000,550,Vivek Vidyalaya Marg,Mumbai
12000000,510,Goregaon West,Mumbai
17000000,1270,Goregaon West,Mumbai
2900000,558,Vasai east,Mumbai
36100000,1237,Nahur,Mumbai
3682000,715,Badlapur West,Mumbai
11600000,1179,Thane West,Mumbai
2100000,495,Thane,Mumbai
2700000,570,Panvel,Mumbai
3600000,575,Kalyan,Mumbai
2865000,675,Badlapur East,Mumbai
2374000,634,Ambernath West,Mumbai
5200000,580,Mira Bhayandar,Mumbai
14000000,1185,Malad West,Mumbai
62500000,2665,Goregaon West,Mumbai
26500000,1305,Malad West,Mumbai
13000000,995,Malad West,Mumbai
10600000,1014,Malad West,Mumbai
11000000,756,Juhu,Mumbai
36100000,1237,Nahur,Mumbai
3682000,715,Badlapur West,Mumbai
3600000,575,Kalyan,Mumbai
2865000,675,Badlapur East,Mumbai
11600000,1179,Thane West,Mumbai
2100000,495,Thane,Mumbai
2700000,570,Panvel,Mumbai
3985000,670,Kalyan,Mumbai
2200000,500,Naigaon East,Mumbai
2300000,500,Naigaon East,Mumbai
2650000,673,Ambarnath,Mumbai
4600000,650,Mira Road East,Mumbai
2374000,634,Ambernath West,Mumbai
5000000,735,Ulwe,Mumbai
7200000,952,Sector 21 Ulwe,Mumbai
72000000,1141,Bandra East,Mumbai
6100000,1150,Dronagiri,Mumbai
18500000,1250,Nerul,Mumbai
4700000,650,Karanjade,Mumbai
4100000,690,Karanjade,Mumbai
4000000,670,Karanjade,Mumbai
4300000,654,Karanjade,Mumbai
3950000,630,Karanjade,Mumbai
3850000,635,Karanjade,Mumbai
22500000,1750,Sanpada,Mumbai
17000000,1250,Sanpada,Mumbai
6000000,687,Sector-18 Ulwe,Mumbai
11100000,1310,Sector-8 Ulwe,Mumbai
3500000,690,Dronagiri,Mumbai
5200000,1070,Dronagiri,Mumbai
5800000,540,Ulwe,Mumbai
6200000,1135,Ulwe,Mumbai
27500000,3000,Sector-3 Ulwe,Mumbai
15500000,1500,Sector-3 Ulwe,Mumbai
13799999,1440,Sector-3 Ulwe,Mumbai
3400000,704,Dronagiri,Mumbai
3500000,688,Dronagiri,Mumbai
5200000,667,Sector 17 Ulwe,Mumbai
2400000,625,Dronagiri,Mumbai
4900000,650,Sector 23 Ulwe,Mumbai
11100000,1310,Sector-8 Ulwe,Mumbai
